2026-02-08 17:52:43,605 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.605877", "level": "INFO", "event_type": "franchise_analysis_result", "message": "Computed franchise vs standalone stats", "groups": 2}
2026-02-08 17:52:43,606 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.606073", "level": "INFO", "event_type": "franchise_ranking_start", "message": "Ranking franchises by total revenue"}
2026-02-08 17:52:43,623 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.623680", "level": "INFO", "event_type": "franchise_ranking_result", "message": "Top franchises computed", "rows_returned": 10}
2026-02-08 17:52:43,623 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.623868", "level": "INFO", "event_type": "director_ranking_start", "message": "Ranking directors by total revenue"}
2026-02-08 17:52:43,636 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.636513", "level": "INFO", "event_type": "director_ranking_result", "message": "Top directors computed", "rows_returned": 10}
2026-02-08 17:52:43,636 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.636723", "level": "INFO", "event_type": "pipeline_complete", "message": "Advanced TMDB analysis completed"}
2026-02-08 17:52:43,636 | INFO | advanced | Advanced analysis completed | rows=18
2026-02-08 17:52:43,643 | INFO | advanced | Saved clean dataset | path=./data/clean/tmdb_clean_after_kpi.csv
2026-02-08 17:57:22,813 | INFO | advanced | Advanced analysis started
2026-02-08 17:57:22,813 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.813919", "level": "INFO", "event_type": "pipeline_start", "message": "Starting advanced TMDB analysis"}
2026-02-08 17:57:22,815 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.815790", "level": "INFO", "event_type": "feature_engineering", "message": "Computed profit and ROI", "total_rows": 18}
2026-02-08 17:57:22,815 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.815931", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_revenue", "metric": "revenue_musd"}
2026-02-08 17:57:22,817 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.817064", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_revenue", "metric": "revenue_musd", "top_movie": "Avatar", "top_value": 2923.706026, "rows_returned": 10}
2026-02-08 17:57:22,817 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.817176", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_budget", "metric": "budget_musd"}
2026-02-08 17:57:22,818 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.818247", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_budget", "metric": "budget_musd", "top_movie": "Avengers: Endgame", "top_value": 356.0, "rows_returned": 10}
2026-02-08 17:57:22,818 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.818354", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_profit", "metric": "profit"}
2026-02-08 17:57:22,819 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.819428", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_profit", "metric": "profit", "top_movie": "Avatar", "top_value": 2686.706026, "rows_returned": 10}
2026-02-08 17:57:22,819 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.819573", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_profit", "metric": "profit"}
2026-02-08 17:57:22,820 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.820677", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_profit", "metric": "profit", "top_movie": "Star Wars: The Last Jedi", "top_value": 1032.69883, "rows_returned": 10}
2026-02-08 17:57:22,820 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.820788", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_roi", "metric": "roi"}
2026-02-08 17:57:22,821 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.821849", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_roi", "metric": "roi", "top_movie": "Avatar", "top_value": 12.33631234599156, "rows_returned": 10}
2026-02-08 17:57:22,821 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.821958", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_roi", "metric": "roi"}
2026-02-08 17:57:22,822 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.822952", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_roi", "metric": "roi", "top_movie": "Star Wars: The Last Jedi", "top_value": 4.442329433333334, "rows_returned": 10}
2026-02-08 17:57:22,823 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.823058", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI most_voted", "metric": "vote_count"}
2026-02-08 17:57:22,824 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.824110", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_voted", "metric": "vote_count", "top_movie": "The Avengers", "top_value": 35720.0, "rows_returned": 10}
2026-02-08 17:57:22,824 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.824216", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_rated", "metric": "vote_average"}
2026-02-08 17:57:22,825 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.825451", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_rated", "metric": "vote_average", "top_movie": "Avengers: Endgame", "top_value": 8.236, "rows_returned": 10}
2026-02-08 17:57:22,825 | INFO | advanced | {"timestamp": "2026-02-08T17:57:22.825619", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_rated", "metric": "vote_average"}
